"category","result.status","protectionPolicy.name","result.error.code","host.name","asset.name","inventorySource.type","result.error.reason","result.error.extendedReason","result.error.detailedDescription","result.error.remediation"
"PROTECT","SKIPPED","MSSQL - CRS","ABS0003","vmprddbs34.rsvgnw.local","SUSDB","","Transaction log backup of SUSDB is skipped from backup on vmprddbs34.rsvgnw.local \\ INSTANCE1.","","Database recovery model property is set to simple. Transaction log backups are not allowed if recovery model property of the database is simple.","Change the recovery model property of database SUSDB to full on the SQL host vmprddbs34.rsvgnw.local. Steps: 1. After connecting to the instance INSTANCE1 of the SQL server, in Object Explorer, click the server name to expand the server tree. 2. Expand 'Databases', and select the database. 3. Right-click the database, and then click 'Properties', which opens the 'Database Properties' dialog box. 4. In the 'Select a page' pane, click 'Options'. 5. The current recovery model is displayed in the recovery model list box. 6. To change the recovery model to full, select full from the drop-down menu. 7. Click OK."
"PROTECT","SKIPPED","MSSQL - OVS","ABS0003","vmovsdwh04.ad.ovs.ch","BOA43","","Transaction log backup of BOA43 is skipped from backup on vmovsdwh04.ad.ovs.ch \\ MSSQLSERVER.","","Database recovery model property is set to simple. Transaction log backups are not allowed if recovery model property of the database is simple.","Change the recovery model property of database BOA43 to full on the SQL host vmovsdwh04.ad.ovs.ch. Steps: 1. After connecting to the instance MSSQLSERVER of the SQL server, in Object Explorer, click the server name to expand the server tree. 2. Expand 'Databases', and select the database. 3. Right-click the database, and then click 'Properties', which opens the 'Database Properties' dialog box. 4. In the 'Select a page' pane, click 'Options'. 5. The current recovery model is displayed in the recovery model list box. 6. To change the recovery model to full, select full from the drop-down menu. 7. Click OK."
"PROTECT","SKIPPED","MSSQL - OVS","ABS0003","vmovsdwh04.ad.ovs.ch","BOR43","","Transaction log backup of BOR43 is skipped from backup on vmovsdwh04.ad.ovs.ch \\ MSSQLSERVER.","","Database recovery model property is set to simple. Transaction log backups are not allowed if recovery model property of the database is simple.","Change the recovery model property of database BOR43 to full on the SQL host vmovsdwh04.ad.ovs.ch. Steps: 1. After connecting to the instance MSSQLSERVER of the SQL server, in Object Explorer, click the server name to expand the server tree. 2. Expand 'Databases', and select the database. 3. Right-click the database, and then click 'Properties', which opens the 'Database Properties' dialog box. 4. In the 'Select a page' pane, click 'Options'. 5. The current recovery model is displayed in the recovery model list box. 6. To change the recovery model to full, select full from the drop-down menu. 7. Click OK."
"PROTECT","SKIPPED","MSSQL - OVS","ABS0003","vmovsdwh04.ad.ovs.ch","CMS","","Transaction log backup of CMS is skipped from backup on vmovsdwh04.ad.ovs.ch \\ MSSQLSERVER.","","Database recovery model property is set to simple. Transaction log backups are not allowed if recovery model property of the database is simple.","Change the recovery model property of database CMS to full on the SQL host vmovsdwh04.ad.ovs.ch. Steps: 1. After connecting to the instance MSSQLSERVER of the SQL server, in Object Explorer, click the server name to expand the server tree. 2. Expand 'Databases', and select the database. 3. Right-click the database, and then click 'Properties', which opens the 'Database Properties' dialog box. 4. In the 'Select a page' pane, click 'Options'. 5. The current recovery model is displayed in the recovery model list box. 6. To change the recovery model to full, select full from the drop-down menu. 7. Click OK."
"PROTECT","SKIPPED","MSSQL - OVS","ABS0003","vmovsdwh04.ad.ovs.ch","DW_OFS","","Transaction log backup of DW_OFS is skipped from backup on vmovsdwh04.ad.ovs.ch \\ MSSQLSERVER.","","Database recovery model property is set to simple. Transaction log backups are not allowed if recovery model property of the database is simple.","Change the recovery model property of database DW_OFS to full on the SQL host vmovsdwh04.ad.ovs.ch. Steps: 1. After connecting to the instance MSSQLSERVER of the SQL server, in Object Explorer, click the server name to expand the server tree. 2. Expand 'Databases', and select the database. 3. Right-click the database, and then click 'Properties', which opens the 'Database Properties' dialog box. 4. In the 'Select a page' pane, click 'Options'. 5. The current recovery model is displayed in the recovery model list box. 6. To change the recovery model to full, select full from the drop-down menu. 7. Click OK."
"PROTECT","SKIPPED","MSSQL - OVS","ABS0003","vmovsdwh04.ad.ovs.ch","EMS","","Transaction log backup of EMS is skipped from backup on vmovsdwh04.ad.ovs.ch \\ MSSQLSERVER.","","Database recovery model property is set to simple. Transaction log backups are not allowed if recovery model property of the database is simple.","Change the recovery model property of database EMS to full on the SQL host vmovsdwh04.ad.ovs.ch. Steps: 1. After connecting to the instance MSSQLSERVER of the SQL server, in Object Explorer, click the server name to expand the server tree. 2. Expand 'Databases', and select the database. 3. Right-click the database, and then click 'Properties', which opens the 'Database Properties' dialog box. 4. In the 'Select a page' pane, click 'Options'. 5. The current recovery model is displayed in the recovery model list box. 6. To change the recovery model to full, select full from the drop-down menu. 7. Click OK."
"PROTECT","SKIPPED","MSSQL - OVS","ABS0003","vmovsdwh04.ad.ovs.ch","JSON","","Transaction log backup of JSON is skipped from backup on vmovsdwh04.ad.ovs.ch \\ MSSQLSERVER.","","Database recovery model property is set to simple. Transaction log backups are not allowed if recovery model property of the database is simple.","Change the recovery model property of database JSON to full on the SQL host vmovsdwh04.ad.ovs.ch. Steps: 1. After connecting to the instance MSSQLSERVER of the SQL server, in Object Explorer, click the server name to expand the server tree. 2. Expand 'Databases', and select the database. 3. Right-click the database, and then click 'Properties', which opens the 'Database Properties' dialog box. 4. In the 'Select a page' pane, click 'Options'. 5. The current recovery model is displayed in the recovery model list box. 6. To change the recovery model to full, select full from the drop-down menu. 7. Click OK."
"PROTECT","SKIPPED","MSSQL - OVS","ABS0003","vmovsdwh04.ad.ovs.ch","Motors","","Transaction log backup of Motors is skipped from backup on vmovsdwh04.ad.ovs.ch \\ MSSQLSERVER.","","Database recovery model property is set to simple. Transaction log backups are not allowed if recovery model property of the database is simple.","Change the recovery model property of database Motors to full on the SQL host vmovsdwh04.ad.ovs.ch. Steps: 1. After connecting to the instance MSSQLSERVER of the SQL server, in Object Explorer, click the server name to expand the server tree. 2. Expand 'Databases', and select the database. 3. Right-click the database, and then click 'Properties', which opens the 'Database Properties' dialog box. 4. In the 'Select a page' pane, click 'Options'. 5. The current recovery model is displayed in the recovery model list box. 6. To change the recovery model to full, select full from the drop-down menu. 7. Click OK."
"PROTECT","SKIPPED","MSSQL - OVS","ABS0003","vmovsdwh04.ad.ovs.ch","OCVS","","Transaction log backup of OCVS is skipped from backup on vmovsdwh04.ad.ovs.ch \\ MSSQLSERVER.","","Database recovery model property is set to simple. Transaction log backups are not allowed if recovery model property of the database is simple.","Change the recovery model property of database OCVS to full on the SQL host vmovsdwh04.ad.ovs.ch. Steps: 1. After connecting to the instance MSSQLSERVER of the SQL server, in Object Explorer, click the server name to expand the server tree. 2. Expand 'Databases', and select the database. 3. Right-click the database, and then click 'Properties', which opens the 'Database Properties' dialog box. 4. In the 'Select a page' pane, click 'Options'. 5. The current recovery model is displayed in the recovery model list box. 6. To change the recovery model to full, select full from the drop-down menu. 7. Click OK."
"PROTECT","SKIPPED","MSSQL - OVS","ABS0003","vmovsdwh04.ad.ovs.ch","OCVS_Cantonal","","Transaction log backup of OCVS_Cantonal is skipped from backup on vmovsdwh04.ad.ovs.ch \\ MSSQLSERVER.","","Database recovery model property is set to simple. Transaction log backups are not allowed if recovery model property of the database is simple.","Change the recovery model property of database OCVS_Cantonal to full on the SQL host vmovsdwh04.ad.ovs.ch. Steps: 1. After connecting to the instance MSSQLSERVER of the SQL server, in Object Explorer, click the server name to expand the server tree. 2. Expand 'Databases', and select the database. 3. Right-click the database, and then click 'Properties', which opens the 'Database Properties' dialog box. 4. In the 'Select a page' pane, click 'Options'. 5. The current recovery model is displayed in the recovery model list box. 6. To change the recovery model to full, select full from the drop-down menu. 7. Click OK."
"PROTECT","SKIPPED","MSSQL - OVS","ABS0003","vmovsdwh04.ad.ovs.ch","OCVS_Fige","","Transaction log backup of OCVS_Fige is skipped from backup on vmovsdwh04.ad.ovs.ch \\ MSSQLSERVER.","","Database recovery model property is set to simple. Transaction log backups are not allowed if recovery model property of the database is simple.","Change the recovery model property of database OCVS_Fige to full on the SQL host vmovsdwh04.ad.ovs.ch. Steps: 1. After connecting to the instance MSSQLSERVER of the SQL server, in Object Explorer, click the server name to expand the server tree. 2. Expand 'Databases', and select the database. 3. Right-click the database, and then click 'Properties', which opens the 'Database Properties' dialog box. 4. In the 'Select a page' pane, click 'Options'. 5. The current recovery model is displayed in the recovery model list box. 6. To change the recovery model to full, select full from the drop-down menu. 7. Click OK."
"PROTECT","SKIPPED","MSSQL - OVS","ABS0003","vmovsdwh04.ad.ovs.ch","OFS","","Transaction log backup of OFS is skipped from backup on vmovsdwh04.ad.ovs.ch \\ MSSQLSERVER.","","Database recovery model property is set to simple. Transaction log backups are not allowed if recovery model property of the database is simple.","Change the recovery model property of database OFS to full on the SQL host vmovsdwh04.ad.ovs.ch. Steps: 1. After connecting to the instance MSSQLSERVER of the SQL server, in Object Explorer, click the server name to expand the server tree. 2. Expand 'Databases', and select the database. 3. Right-click the database, and then click 'Properties', which opens the 'Database Properties' dialog box. 4. In the 'Select a page' pane, click 'Options'. 5. The current recovery model is displayed in the recovery model list box. 6. To change the recovery model to full, select full from the drop-down menu. 7. Click OK."
"PROTECT","SKIPPED","MSSQL - OVS","ABS0003","vmovsdwh04.ad.ovs.ch","RVT","","Transaction log backup of RVT is skipped from backup on vmovsdwh04.ad.ovs.ch \\ MSSQLSERVER.","","Database recovery model property is set to simple. Transaction log backups are not allowed if recovery model property of the database is simple.","Change the recovery model property of database RVT to full on the SQL host vmovsdwh04.ad.ovs.ch. Steps: 1. After connecting to the instance MSSQLSERVER of the SQL server, in Object Explorer, click the server name to expand the server tree. 2. Expand 'Databases', and select the database. 3. Right-click the database, and then click 'Properties', which opens the 'Database Properties' dialog box. 4. In the 'Select a page' pane, click 'Options'. 5. The current recovery model is displayed in the recovery model list box. 6. To change the recovery model to full, select full from the drop-down menu. 7. Click OK."
"PROTECT","SKIPPED","MSSQL - OVS","ABS0003","vmovsdwh04.ad.ovs.ch","SSISDB","","Transaction log backup of SSISDB is skipped from backup on vmovsdwh04.ad.ovs.ch \\ MSSQLSERVER.","","Database recovery model property is set to simple. Transaction log backups are not allowed if recovery model property of the database is simple.","Change the recovery model property of database SSISDB to full on the SQL host vmovsdwh04.ad.ovs.ch. Steps: 1. After connecting to the instance MSSQLSERVER of the SQL server, in Object Explorer, click the server name to expand the server tree. 2. Expand 'Databases', and select the database. 3. Right-click the database, and then click 'Properties', which opens the 'Database Properties' dialog box. 4. In the 'Select a page' pane, click 'Options'. 5. The current recovery model is displayed in the recovery model list box. 6. To change the recovery model to full, select full from the drop-down menu. 7. Click OK."
"PROTECT","SKIPPED","MSSQL - OVS","ABS0003","vmovsdwh05.ad.ovs.ch","BOA43","","Transaction log backup of BOA43 is skipped from backup on vmovsdwh05.ad.ovs.ch \\ MSSQLSERVER.","","Database recovery model property is set to simple. Transaction log backups are not allowed if recovery model property of the database is simple.","Change the recovery model property of database BOA43 to full on the SQL host vmovsdwh05.ad.ovs.ch. Steps: 1. After connecting to the instance MSSQLSERVER of the SQL server, in Object Explorer, click the server name to expand the server tree. 2. Expand 'Databases', and select the database. 3. Right-click the database, and then click 'Properties', which opens the 'Database Properties' dialog box. 4. In the 'Select a page' pane, click 'Options'. 5. The current recovery model is displayed in the recovery model list box. 6. To change the recovery model to full, select full from the drop-down menu. 7. Click OK."
"PROTECT","SKIPPED","MSSQL - OVS","ABS0003","vmovsdwh05.ad.ovs.ch","BOR43","","Transaction log backup of BOR43 is skipped from backup on vmovsdwh05.ad.ovs.ch \\ MSSQLSERVER.","","Database recovery model property is set to simple. Transaction log backups are not allowed if recovery model property of the database is simple.","Change the recovery model property of database BOR43 to full on the SQL host vmovsdwh05.ad.ovs.ch. Steps: 1. After connecting to the instance MSSQLSERVER of the SQL server, in Object Explorer, click the server name to expand the server tree. 2. Expand 'Databases', and select the database. 3. Right-click the database, and then click 'Properties', which opens the 'Database Properties' dialog box. 4. In the 'Select a page' pane, click 'Options'. 5. The current recovery model is displayed in the recovery model list box. 6. To change the recovery model to full, select full from the drop-down menu. 7. Click OK."
"PROTECT","SKIPPED","MSSQL - OVS","ABS0003","vmovsdwh05.ad.ovs.ch","CMS","","Transaction log backup of CMS is skipped from backup on vmovsdwh05.ad.ovs.ch \\ MSSQLSERVER.","","Database recovery model property is set to simple. Transaction log backups are not allowed if recovery model property of the database is simple.","Change the recovery model property of database CMS to full on the SQL host vmovsdwh05.ad.ovs.ch. Steps: 1. After connecting to the instance MSSQLSERVER of the SQL server, in Object Explorer, click the server name to expand the server tree. 2. Expand 'Databases', and select the database. 3. Right-click the database, and then click 'Properties', which opens the 'Database Properties' dialog box. 4. In the 'Select a page' pane, click 'Options'. 5. The current recovery model is displayed in the recovery model list box. 6. To change the recovery model to full, select full from the drop-down menu. 7. Click OK."
"PROTECT","SKIPPED","MSSQL - OVS","ABS0003","vmovsdwh05.ad.ovs.ch","DW_OFS","","Transaction log backup of DW_OFS is skipped from backup on vmovsdwh05.ad.ovs.ch \\ MSSQLSERVER.","","Database recovery model property is set to simple. Transaction log backups are not allowed if recovery model property of the database is simple.","Change the recovery model property of database DW_OFS to full on the SQL host vmovsdwh05.ad.ovs.ch. Steps: 1. After connecting to the instance MSSQLSERVER of the SQL server, in Object Explorer, click the server name to expand the server tree. 2. Expand 'Databases', and select the database. 3. Right-click the database, and then click 'Properties', which opens the 'Database Properties' dialog box. 4. In the 'Select a page' pane, click 'Options'. 5. The current recovery model is displayed in the recovery model list box. 6. To change the recovery model to full, select full from the drop-down menu. 7. Click OK."
"PROTECT","SKIPPED","MSSQL - OVS","ABS0003","vmovsdwh05.ad.ovs.ch","EMS","","Transaction log backup of EMS is skipped from backup on vmovsdwh05.ad.ovs.ch \\ MSSQLSERVER.","","Database recovery model property is set to simple. Transaction log backups are not allowed if recovery model property of the database is simple.","Change the recovery model property of database EMS to full on the SQL host vmovsdwh05.ad.ovs.ch. Steps: 1. After connecting to the instance MSSQLSERVER of the SQL server, in Object Explorer, click the server name to expand the server tree. 2. Expand 'Databases', and select the database. 3. Right-click the database, and then click 'Properties', which opens the 'Database Properties' dialog box. 4. In the 'Select a page' pane, click 'Options'. 5. The current recovery model is displayed in the recovery model list box. 6. To change the recovery model to full, select full from the drop-down menu. 7. Click OK."
"PROTECT","SKIPPED","MSSQL - OVS","ABS0003","vmovsdwh05.ad.ovs.ch","OCVS","","Transaction log backup of OCVS is skipped from backup on vmovsdwh05.ad.ovs.ch \\ MSSQLSERVER.","","Database recovery model property is set to simple. Transaction log backups are not allowed if recovery model property of the database is simple.","Change the recovery model property of database OCVS to full on the SQL host vmovsdwh05.ad.ovs.ch. Steps: 1. After connecting to the instance MSSQLSERVER of the SQL server, in Object Explorer, click the server name to expand the server tree. 2. Expand 'Databases', and select the database. 3. Right-click the database, and then click 'Properties', which opens the 'Database Properties' dialog box. 4. In the 'Select a page' pane, click 'Options'. 5. The current recovery model is displayed in the recovery model list box. 6. To change the recovery model to full, select full from the drop-down menu. 7. Click OK."
"PROTECT","SKIPPED","MSSQL - OVS","ABS0003","vmovsdwh05.ad.ovs.ch","OCVS_Fige","","Transaction log backup of OCVS_Fige is skipped from backup on vmovsdwh05.ad.ovs.ch \\ MSSQLSERVER.","","Database recovery model property is set to simple. Transaction log backups are not allowed if recovery model property of the database is simple.","Change the recovery model property of database OCVS_Fige to full on the SQL host vmovsdwh05.ad.ovs.ch. Steps: 1. After connecting to the instance MSSQLSERVER of the SQL server, in Object Explorer, click the server name to expand the server tree. 2. Expand 'Databases', and select the database. 3. Right-click the database, and then click 'Properties', which opens the 'Database Properties' dialog box. 4. In the 'Select a page' pane, click 'Options'. 5. The current recovery model is displayed in the recovery model list box. 6. To change the recovery model to full, select full from the drop-down menu. 7. Click OK."
"PROTECT","SKIPPED","MSSQL - OVS","ABS0003","vmovsdwh05.ad.ovs.ch","OFS","","Transaction log backup of OFS is skipped from backup on vmovsdwh05.ad.ovs.ch \\ MSSQLSERVER.","","Database recovery model property is set to simple. Transaction log backups are not allowed if recovery model property of the database is simple.","Change the recovery model property of database OFS to full on the SQL host vmovsdwh05.ad.ovs.ch. Steps: 1. After connecting to the instance MSSQLSERVER of the SQL server, in Object Explorer, click the server name to expand the server tree. 2. Expand 'Databases', and select the database. 3. Right-click the database, and then click 'Properties', which opens the 'Database Properties' dialog box. 4. In the 'Select a page' pane, click 'Options'. 5. The current recovery model is displayed in the recovery model list box. 6. To change the recovery model to full, select full from the drop-down menu. 7. Click OK."
"PROTECT","SKIPPED","MSSQL - OVS","ABS0003","vmovsdwh05.ad.ovs.ch","RVT","","Transaction log backup of RVT is skipped from backup on vmovsdwh05.ad.ovs.ch \\ MSSQLSERVER.","","Database recovery model property is set to simple. Transaction log backups are not allowed if recovery model property of the database is simple.","Change the recovery model property of database RVT to full on the SQL host vmovsdwh05.ad.ovs.ch. Steps: 1. After connecting to the instance MSSQLSERVER of the SQL server, in Object Explorer, click the server name to expand the server tree. 2. Expand 'Databases', and select the database. 3. Right-click the database, and then click 'Properties', which opens the 'Database Properties' dialog box. 4. In the 'Select a page' pane, click 'Options'. 5. The current recovery model is displayed in the recovery model list box. 6. To change the recovery model to full, select full from the drop-down menu. 7. Click OK."
"PROTECT","CANCELED","MSSQL - Standard","AERR0016","vmprddbs30a.rsvgnw.local","ibase","","Job 'Protecting SQL Databases - ibase - vmprddbs30a.rsvgnw.local' is canceled because there is no Full backup eligible as the base of the backup to be created by this protection job.","","This protection job is canceled because there is no Full backup eligible as the base of the backup to be created by this job.","Check whether protection Full backup schedule is properly configured or whether Full protection job run successfully, if Full backup schedule will come in the future, Manual Full protection job could be triggered first; If prior Full backup protection job failed, follow the corresponding job’s ""Recommended Action"" to take action."
"PROTECT","CANCELED","MSSQL - Standard","AERR0016","vmprddbs31a.rsvgnw.local","IMAGEnet","","Job 'Protecting SQL Databases - IMAGEnet - vmprddbs31a.rsvgnw.local' is canceled because there is no Full backup eligible as the base of the backup to be created by this protection job.","","This protection job is canceled because there is no Full backup eligible as the base of the backup to be created by this job.","Check whether protection Full backup schedule is properly configured or whether Full protection job run successfully, if Full backup schedule will come in the future, Manual Full protection job could be triggered first; If prior Full backup protection job failed, follow the corresponding job’s ""Recommended Action"" to take action."
"PROTECT","CANCELED","MSSQL - Standard","AERR0016","vmprddbs38a.rsvgnw.local","IMAGEnet","","Job 'Protecting SQL Databases - IMAGEnet - vmprddbs38a.rsvgnw.local' is canceled because there is no Full backup eligible as the base of the backup to be created by this protection job.","","This protection job is canceled because there is no Full backup eligible as the base of the backup to be created by this job.","Check whether protection Full backup schedule is properly configured or whether Full protection job run successfully, if Full backup schedule will come in the future, Manual Full protection job could be triggered first; If prior Full backup protection job failed, follow the corresponding job’s ""Recommended Action"" to take action."
"PROTECT","CANCELED","MSSQL - Standard","AERR0016","vmprddbs38a.rsvgnw.local","ibase","","Job 'Protecting SQL Databases - ibase - vmprddbs38a.rsvgnw.local' is canceled because there is no Full backup eligible as the base of the backup to be created by this protection job.","","This protection job is canceled because there is no Full backup eligible as the base of the backup to be created by this job.","Check whether protection Full backup schedule is properly configured or whether Full protection job run successfully, if Full backup schedule will come in the future, Manual Full protection job could be triggered first; If prior Full backup protection job failed, follow the corresponding job’s ""Recommended Action"" to take action."
"PROTECT","SKIPPED","MSSQL - Standard","ABS0003","SVPRDDWH01.rsvgnw.local","DW","","Transaction log backup of DW is skipped from backup on SVPRDDWH01.rsvgnw.local \\ INSTANCE1.","","Database recovery model property is set to simple. Transaction log backups are not allowed if recovery model property of the database is simple.","Change the recovery model property of database DW to full on the SQL host SVPRDDWH01.rsvgnw.local. Steps: 1. After connecting to the instance INSTANCE1 of the SQL server, in Object Explorer, click the server name to expand the server tree. 2. Expand 'Databases', and select the database. 3. Right-click the database, and then click 'Properties', which opens the 'Database Properties' dialog box. 4. In the 'Select a page' pane, click 'Options'. 5. The current recovery model is displayed in the recovery model list box. 6. To change the recovery model to full, select full from the drop-down menu. 7. Click OK."
"PROTECT","SKIPPED","MSSQL - Standard","ABS0003","SVPRDDWH01.rsvgnw.local","DW_Annualise","","Transaction log backup of DW_Annualise is skipped from backup on SVPRDDWH01.rsvgnw.local \\ INSTANCE1.","","Database recovery model property is set to simple. Transaction log backups are not allowed if recovery model property of the database is simple.","Change the recovery model property of database DW_Annualise to full on the SQL host SVPRDDWH01.rsvgnw.local. Steps: 1. After connecting to the instance INSTANCE1 of the SQL server, in Object Explorer, click the server name to expand the server tree. 2. Expand 'Databases', and select the database. 3. Right-click the database, and then click 'Properties', which opens the 'Database Properties' dialog box. 4. In the 'Select a page' pane, click 'Options'. 5. The current recovery model is displayed in the recovery model list box. 6. To change the recovery model to full, select full from the drop-down menu. 7. Click OK."
